no,type,title,assignees,milestone,labels,state,user,created_at,closed_at,closed_by,updated_at,due_on,actual_man_hour,estimated_man_hour,project,project_status
44,Issue,契約資料周りの整備,rothr4,フェーズ0(開発準備)-1,実工数: 8h,closed,ma3-ndbox,2020-03-12 05:31:17,2020-03-18 04:42:43,rothr4,2020-03-18 04:42:43,2020-04-05 07:00:00,8.0,,tasks,完了
45,Issue,wiki用のREADMEを作る,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-12 05:37:39,2020-03-12 07:42:30,ma3-ndbox,2020-03-18 04:10:26,2020-04-05 07:00:00,0.25,,tasks,完了
46,PullRequest,github actionsのベース作成,,,,closed,ma3-ndbox,2020-03-12 07:03:02,2020-03-12 07:17:43,ma3-ndbox,2020-03-12 07:17:43,,,,,
47,Issue,kocalstackを起動した状態でaws-cliを叩けることを確認,rothr4,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-12 07:34:30,2020-03-14 01:42:05,rothr4,2020-03-18 04:27:11,2020-04-05 07:00:00,1.0,,tasks,完了
48,PullRequest,localstackのベースとなるdocker-composeを作成,,,,closed,ma3-ndbox,2020-03-12 07:36:11,2020-03-12 07:36:36,ma3-ndbox,2020-03-12 07:36:36,,,,,
49,Issue,localstackのベース作成(とりあえずの起動できるところまで),ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-12 07:43:21,2020-03-12 07:43:24,ma3-ndbox,2020-03-18 04:10:08,2020-04-05 07:00:00,1.0,,tasks,完了
50,Issue,Test,,,,closed,ma3-ndbox,2020-03-12 12:02:05,2020-03-12 12:21:07,ma3-ndbox,2020-03-12 12:21:07,,,,,
51,Issue,Test (1),,,,closed,ma3-ndbox,2020-03-12 12:04:04,2020-03-12 12:04:22,ma3-ndbox,2020-03-12 12:04:22,,,,,
52,Issue,localstackのDynamoDBにaws-cliで接続してみる,hizakozo,フェーズ0(開発準備)-1,見積工数: 1h,open,ma3-ndbox,2020-03-12 15:55:21,,,2020-03-18 04:03:19,2020-04-05 07:00:00,,1.0,tasks,直近でやる(1~2週間以内)
53,Issue,前提確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 01:32:29,2020-03-15 14:12:37,ma3-ndbox,2020-03-15 14:12:37,,,,meeting,完了
54,Issue,必要機能の洗い出し,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 01:33:19,2020-03-17 10:45:13,ma3-ndbox,2020-03-17 10:45:13,,,,meeting,完了
55,Issue,ui-flowの確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 01:33:42,2020-03-17 10:45:44,ma3-ndbox,2020-03-17 10:45:44,,,,meeting,完了
56,Issue,infra構成の確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 01:34:10,2020-03-15 07:32:09,ma3-ndbox,2020-03-15 07:32:09,,,,meeting,完了
